munid,provinceId,districtId,HLCIT CODE,Municipality,Pcode,District,Province,0_14,15_49,50+,Total
570,6,54,524 6 52 4 003,Tribeni Gaunpalika,NP,Rukum West,Karnali Province,"8,038","8,340","2,153","18,531"
580,6,55,524 6 53 4 006,Tribeni Gaunpalika,NP,Salyan,Karnali Province,"6,196","6,458","2,439","15,093"
680,7,67,524 7 68 3 004,Tribeni Nagarpalika,NP,Bajura,Sudurpaschim Province,"12,999","15,546","6,030","34,575"
635,6,61,524 6 60 3 003,Tribeni Nalagad Nagarpalika,NP,Jajarkot,Karnali Province,"16,538","17,201","5,435","39,174"
332,3,30,524 3 30 4 004,Tripura Sundari Gaunpalika,NP,Dhading,Bagmati Province,"9,317","9,816","3,412","22,545"
266,3,23,524 3 23 4 008,Tripurasundari Gaunpalika,NP,Sindhupalchok,Bagmati Province,"11,897","13,810","4,728","30,435"
643,6,62,524 6 62 3 001,Tripurasundari Nagarpalika,NP,Dolpa,Karnali Province,"9,282","10,252","3,390","22,924"
137,1,14,524 1 14 3 002,Triyuga Nagarpalika,NP,Udayapur,Province 1,"9,929","10,608","4,095","24,632"
590,5,56,524 5 56 2 001,Tulsipur Upamahanagarpalika,NP,Dang,Province 5,"7,767","8,098","2,684","18,549"
16,1,2,524 1 02 4 006,Tumbewa Gaunpalika,NP,Panchthar,Province 1,"7,917","7,803","3,046","18,766"
704,7,69,524 7 69 4 006,Turmakhad Gaunpalika,NP,Achham,Sudurpaschim Province,"7,520","7,344","2,251","17,115"
104,1,10,524 1 10 4 002,Tyamkemaiyung Gaunpalika,NP,Bhojpur,Province 1,"8,984","9,589","2,937","21,510"
138,1,14,524 1 14 4 003,Udayapurgadhi Gaunpalika,NP,Udayapur,Province 1,"7,854","10,213","3,164","21,231"
245,3,21,524 3 21 4 004,Umakunda Gaunpalika,NP,Ramechhap,Bagmati Province,"8,735","9,981","3,344","22,060"
59,1,5,524 1 05 3 005,Uralabari Nagarpalika,NP,Morang,Province 1,"3,890","4,593","1,864","10,347"
319,3,29,524 3 29 4 003,Uttargaya Gaunpalika,NP,Rasuwa,Bagmati Province,"4,095","4,924","1,799","10,818"
442,4,39,524 4 41 3 004,Waling Nagarpalika,NP,Syangja,Gandaki Province,"2,758","3,120",901,"6,779"
9,1,1,524 1 01 4 007,Yangwarak Gaunpalika,NP,Taplejung,Province 1,"5,782","6,824","2,975","15,581"
17,1,2,524 1 02 4 002,Yangwarak Gaunpalika,NP,Panchthar,Province 1,"7,433","6,675","1,766","15,874"
537,5,50,524 5 49 4 002,Yashodhara Gaunpalika,NP,Kapilbastu,Province 5,"5,836","6,393","2,609","14,838"
362,2,32,524 2 32 4 001,Yemunamai Gaunpalika,NP,Rautahat,Province 2,"6,343","6,641","1,972","14,956"
