HLCIT CODE,Municipality,Pcode,District,0_14,15_49,50+,Total
524 7 71 3 005,Tikapur,NP,Kailali,"18,852","27,870","6,822","53,544"
524 6 63 4 005,Tila,NP,Jumla,"21,075","25,528","7,030","53,633"
524 6 64 3 003,Tilagufa,NP,Kalikot,"8,691","10,569","2,689","21,949"
524 2 15 4 009,Tilathi Koiladi,NP,Saptari,"8,323","11,543","2,703","22,569"
524 5 48 3 003,Tillotama,NP,Rupandehi,0,0,0,0
524 5 46 4 002,Tinau,NP,Palpa,"15,255","15,632","4,096","34,983"
524 3 20 4 006,Tinpatan,NP,Sindhuli,"7,616","10,496","3,133","21,245"
524 2 15 4 003,Tirahut,NP,Saptari,"5,863","6,227","2,039","14,129"
524 3 27 3 002,Tokha,NP,Kathmandu,"6,443","7,795","2,828","17,066"
524 7 68 3 004,Tribeni,NP,Bajura,"12,999","15,546","6,030","34,575"
524 5 54 4 006,Tribeni,NP,Rolpa,"8,412","8,615","2,930","19,957"
524 6 52 4 003,Tribeni,NP,Rukum West,"8,038","8,340","2,153","18,531"
524 6 53 4 006,Tribeni,NP,Salyan,"6,196","6,458","2,439","15,093"
524 6 60 3 003,Tribeni Nalagad,NP,Jajarkot,"16,538","17,201","5,435","39,174"
524 3 30 4 004,Tripura Sundari,NP,Dhading,"9,317","9,816","3,412","22,545"
524 6 62 3 001,Tripurasundari,NP,Dolpa,"9,282","10,252","3,390","22,924"
524 3 23 4 008,Tripurasundari,NP,Sindhupalchok,"11,897","13,810","4,728","30,435"
524 1 14 3 002,Triyuga,NP,Udayapur,"9,929","10,608","4,095","24,632"
524 5 56 2 001,Tulsipur,NP,Dang,"7,767","8,098","2,684","18,549"
524 1 02 4 006,Tumbewa,NP,Panchthar,"7,917","7,803","3,046","18,766"
524 7 69 4 006,Turmakhad,NP,Achham,"7,520","7,344","2,251","17,115"
524 1 10 4 002,Tyamkemaiyung,NP,Bhojpur,"8,984","9,589","2,937","21,510"
524 1 14 4 003,Udayapurgadhi,NP,Udayapur,"7,854","10,213","3,164","21,231"
524 3 21 4 004,Umakunda,NP,Ramechhap,"8,735","9,981","3,344","22,060"
524 1 05 3 005,Uralabari,NP,Morang,"3,890","4,593","1,864","10,347"
524 3 29 4 003,Uttargaya,NP,Rasuwa,"4,095","4,924","1,799","10,818"
524 4 41 3 004,Waling,NP,Syangja,"2,758","3,120",901,"6,779"
524 1 02 4 002,Yangwarak,NP,Panchthar,"7,433","6,675","1,766","15,874"
524 1 01 4 007,Yangwarak,NP,Taplejung,"5,782","6,824","2,975","15,581"
524 5 49 4 002,Yashodhara,NP,Kapilbastu,"5,836","6,393","2,609","14,838"
524 2 32 4 001,Yemunamai,NP,Rautahat,"6,343","6,641","1,972","14,956"
