HLCIT CODE,Municipality,Pcode,District,0_14,15_49,50+,Total
524 1 01 4 008,Sidingba,NP,Taplejung,"2,652","2,611",701,"5,964"
524 7 74 4 006,Sigas,NP,Baitadi,"3,256","3,019",841,"7,116"
524 1 09 4 003,Silichong,NP,Sankhuwasabha,"14,739","14,347","4,138","33,224"
524 6 66 4 002,Simkot,NP,Humla,"9,292","9,783","3,116","22,191"
524 2 33 3 005,Simraungadh,NP,Bara,"1,008",927,247,"2,182"
524 6 59 4 004,Simta,NP,Surkhet,"4,325","3,828",869,"9,022"
524 6 63 4 002,Sinja,NP,Jumla,"5,196","4,788","1,573","11,557"
524 2 16 3 008,Siraha,NP,Siraha,"7,803","7,074","2,277","17,154"
524 4 36 4 005,Siranchok,NP,Gorkha,"9,699","8,855","2,753","21,307"
524 1 01 4 003,Sirijangha,NP,Taplejung,"5,832","5,424","1,716","12,972"
524 5 52 4 001,Sisne,NP,Rukum East,"7,039","6,998","2,259","16,296"
524 5 50 3 003,Sitganga,NP,Arghakhanchi,"6,795","6,209","1,947","14,951"
524 5 48 4 004,Siyari,NP,Rupandehi,"8,042","7,319","2,591","17,952"
524 1 11 3 001,Solududhakunda,NP,Solukhumbu,"7,005","6,442","2,446","15,893"
524 2 18 4 001,Sonama,NP,Mahottari,0,0,0,0
524 6 65 4 002,Soru,NP,Mugu,"7,835","8,327","2,614","18,776"
524 1 11 4 007,Sotang,NP,Solukhumbu,"6,990","7,787","2,041","16,818"
524 5 49 4 004,Suddhodhan,NP,Kapilbastu,"9,895","8,737","3,045","21,677"
524 5 48 4 002,Sudhdhodhan,NP,Rupandehi,"8,400","7,522","2,441","18,363"
524 2 16 3 007,Sukhipur,NP,Siraha,"3,968","3,874","1,372","9,214"
524 5 54 4 001,Sukidaha,NP,Rolpa,"3,771","3,600","1,144","8,515"
524 4 36 4 003,Sulikot,NP,Gorkha,"8,459","7,564","2,552","18,575"
524 3 21 4 001,Sunapati,NP,Ramechhap,"4,131","4,107","1,194","9,432"
524 5 54 4 005,Sunchhahari,NP,Rolpa,"5,655","5,438","1,691","12,784"
